,Date,usd_buy,usd_sell
0,1/5/1988,63.0,63.6
1,1/6/1988,63.0,63.6
2,1/11/1988,63.0,63.6
3,1/12/1988,63.0,63.6
4,1/13/1988,63.25,63.85
5,1/14/1988,63.25,63.85
6,1/15/1988,63.76,63.36
7,1/16/1988,64.15,64.75
8,1/17/1988,64.15,64.75
9,1/18/1988,64.15,64.75
10,1/19/1988,64.15,64.75
11,1/20/1988,64.15,64.75
12,1/21/1988,62.54,63.14
13,1/22/1988,62.5,63.1
14,4/12/1997,56.75,57.3
15,5/1/1997,56.75,57.3
16,5/2/1997,56.75,57.3
17,5/3/1997,56.75,57.3
18,5/4/1997,56.75,57.3
19,5/5/1997,56.75,57.3
20,5/6/1997,56.75,57.3
21,5/7/1997,56.75,57.3
22,5/8/1997,56.75,57.3
23,5/9/1997,56.75,57.3
24,5/10/1997,56.75,57.3
25,5/11/1997,56.75,57.3
26,5/12/1997,56.75,57.3
27,5/13/1997,56.75,57.3
28,5/14/1997,56.75,57.3
29,5/15/1997,56.75,57.3
30,5/16/1997,56.75,57.3
31,5/17/1997,56.75,57.3
32,5/18/1997,56.75,57.3
33,5/19/1997,56.75,57.3
34,5/20/1997,56.75,57.3
35,5/21/1997,56.75,57.3
36,5/22/1997,56.75,57.3
37,5/24/1997,56.75,57.3
38,5/25/1997,56.75,57.3
39,5/26/1997,56.75,57.3
40,5/27/1997,56.75,57.3
41,5/28/1997,56.75,57.3
42,5/29/1997,56.75,57.3
43,5/30/1997,56.75,57.3
44,5/31/1997,56.75,57.3
45,6/1/1997,56.75,57.3
46,6/2/1997,56.75,57.3
47,6/3/1997,56.75,57.3
48,6/4/1997,56.75,57.3
49,6/5/1997,56.75,57.3
50,6/6/1997,56.75,57.3
51,6/7/1997,56.75,57.3
52,6/8/1997,56.75,57.3
53,6/9/1997,56.75,57.3
54,6/10/1997,56.75,57.3
55,6/11/1997,56.75,57.3
56,6/12/1997,56.75,57.3
57,6/13/1997,56.75,57.3
58,6/14/1997,56.75,57.3
59,6/15/1997,56.75,57.3
60,6/16/1997,56.75,57.3
61,6/17/1997,56.75,57.3
62,6/18/1997,56.75,57.3
63,6/19/1997,56.75,57.3
64,6/20/1997,56.75,57.3
65,6/21/1997,56.75,57.3
66,6/22/1997,56.75,57.3
67,6/23/1997,56.75,57.3
68,6/24/1997,56.75,57.3
69,6/25/1997,56.75,57.3
70,6/26/1997,56.75,57.3
71,6/27/1997,56.75,57.3
72,6/28/1997,56.75,57.3
73,6/29/1997,56.75,57.3
74,6/30/1997,56.75,57.3
75,7/1/1997,56.75,57.3
76,7/2/1997,56.75,57.3
77,7/3/1997,56.75,57.3
78,7/4/1997,56.75,57.3
79,7/5/1997,56.75,57.3
80,7/6/1997,56.75,57.3
81,7/7/1997,56.75,57.3
82,7/8/1997,56.75,57.3
83,7/9/1997,56.75,57.3
84,7/10/1997,56.75,57.3
85,7/11/1997,56.75,57.3
86,7/12/1997,56.75,57.3
87,7/13/1997,56.75,57.3
88,7/14/1997,56.75,57.3
89,7/15/1997,56.75,57.3
90,7/16/1997,56.75,57.3
91,7/17/1997,56.75,57.3
92,7/18/1997,56.75,57.3
93,7/19/1997,56.75,57.3
94,7/20/1997,56.75,57.3
95,7/21/1997,56.75,57.3
96,7/22/1997,56.75,57.3
97,7/23/1997,56.75,57.3
98,7/24/1997,56.75,57.3
99,7/25/1997,56.75,57.3
100,7/26/1997,56.75,57.3
101,7/28/1997,56.75,57.3
102,7/29/1997,56.75,57.3
103,7/30/1997,56.75,57.3
104,7/31/1997,56.75,57.3
105,8/1/1997,56.75,57.3
106,8/2/1997,56.75,57.3
107,8/3/1997,56.75,57.3
108,8/4/1997,56.75,57.3
109,8/5/1997,56.75,57.3
110,8/6/1997,56.75,57.3
111,8/7/1997,56.75,57.3
112,8/8/1997,56.75,57.3
113,8/9/1997,56.75,57.3
114,8/10/1997,56.75,57.3
115,8/11/1997,56.75,57.3
116,8/12/1997,56.75,57.3
117,8/13/1997,56.75,57.3
118,8/14/1997,56.75,57.3
119,8/15/1997,56.75,57.3
120,8/16/1997,56.75,57.3
121,8/17/1997,56.75,57.3
122,8/18/1997,56.75,57.3
123,8/19/1997,56.75,57.3
124,8/20/1997,56.75,57.3
125,8/21/1997,56.75,57.3
126,8/22/1997,56.75,57.3
127,8/23/1997,56.75,57.3
128,8/24/1997,56.75,57.3
129,8/25/1997,56.75,57.3
130,8/26/1997,56.75,57.3
131,8/27/1997,57.21,57.8
132,8/28/1997,57.5,58.05
133,8/29/1997,57.5,58.05
134,8/30/1997,57.5,58.05
135,9/1/1997,57.5,58.05
136,9/2/1997,57.5,58.05
137,9/3/1997,57.5,58.05
138,9/4/1997,57.75,58.3
139,9/5/1997,57.75,58.6
140,9/6/1997,57.75,58.3
141,9/7/1997,58.5,59.05
142,9/8/1997,58.5,59.05
143,9/9/1997,58.5,59.05
144,9/10/1997,58.5,59.05
145,9/11/1997,58.5,999.99
146,9/12/1997,58.5,59.05
147,9/13/1997,58.5,59.05
148,9/14/1997,58.5,59.05
149,9/15/1997,58.5,59.05
150,9/16/1997,58.5,59.05
151,9/17/1997,58.5,59.05
152,9/18/1997,58.5,59.05
153,9/19/1997,58.5,59.05
154,9/20/1997,58.5,59.05
155,9/21/1997,58.5,59.05
156,9/22/1997,58.5,59.05
157,9/23/1997,58.5,59.05
158,9/24/1997,58.5,59.05
159,9/25/1997,58.5,59.05
160,9/26/1997,58.5,59.05
161,9/27/1997,58.5,59.05
162,9/28/1997,58.5,59.05
163,9/29/1997,58.5,59.05
164,9/30/1997,58.5,59.05
165,10/1/1997,58.5,59.05
166,10/2/1997,58.5,59.05
167,10/3/1997,58.5,59.5
168,10/4/1997,58.5,59.05
169,10/5/1997,58.5,59.05
170,10/6/1997,58.5,59.05
171,10/7/1997,58.5,59.05
172,10/8/1997,58.5,59.05
173,10/9/1997,58.5,59.05
174,10/11/1997,58.5,59.05
175,10/13/1997,58.5,59.05
176,10/15/1997,58.5,59.05
177,10/16/1997,58.5,59.05
178,10/17/1997,58.5,59.05
179,10/18/1997,58.5,59.05
180,10/19/1997,58.5,59.05
181,10/20/1997,58.5,59.05
182,10/21/1997,58.5,59.05
183,10/22/1997,58.5,59.05
184,10/23/1997,58.5,59.05
185,10/24/1997,58.5,59.05
186,10/25/1997,58.5,59.05
187,10/26/1997,58.5,59.05
188,10/27/1997,58.5,59.05
189,10/28/1997,58.5,59.05
190,10/29/1997,58.5,59.05
191,10/30/1997,58.5,59.05
192,10/31/1997,58.5,59.05
193,11/1/1997,58.5,59.05
194,11/2/1997,58.5,59.05
195,11/3/1997,58.5,59.05
196,11/4/1997,58.5,59.05
197,11/5/1997,58.5,59.05
198,11/6/1997,58.5,59.05
199,11/7/1997,58.5,59.05
200,11/8/1997,58.5,59.05
201,11/9/1997,57.5,59.05
202,11/10/1997,58.5,59.05
203,11/11/1997,58.5,59.05
204,11/12/1997,58.5,59.05
205,11/13/1997,58.5,59.05
206,11/14/1997,58.5,59.05
207,11/15/1997,58.5,59.05
208,11/16/1997,58.5,59.05
209,11/17/1997,58.5,59.05
210,11/18/1997,58.5,59.05
211,11/20/1997,59.75,60.35
212,11/22/1997,59.75,60.35
213,11/23/1997,59.75,60.35
214,11/25/1997,60.23,60.86
215,11/26/1997,60.75,61.35
216,11/27/1997,60.75,61.35
217,11/28/1997,61.25,61.85
218,11/29/1997,61.25,61.85
219,11/30/1997,61.25,61.85
220,12/1/1997,61.25,61.85
221,12/2/1997,61.25,61.85
222,12/3/1997,62.75,63.35
223,12/4/1997,62.75,63.35
224,12/5/1997,62.75,63.35
225,12/6/1997,62.27,62.87
226,12/7/1997,62.27,62.89
227,12/8/1997,62.25,62.85
228,12/9/1997,62.25,62.85
229,12/10/1997,62.25,62.85
230,12/11/1997,62.25,62.85
231,12/12/1997,62.27,62.87
232,12/13/1997,63.0,63.6
233,12/14/1997,63.0,63.6
234,12/15/1997,63.0,63.6
235,12/16/1997,63.0,63.6
236,12/17/1997,63.0,63.6
237,12/18/1997,63.0,63.6
238,12/19/1997,63.0,63.6
239,12/20/1997,63.0,63.6
240,12/21/1997,63.0,63.6
241,12/22/1997,63.0,63.6
242,12/23/1997,63.0,63.6
243,12/24/1997,63.0,63.6
244,12/25/1997,63.0,63.6
245,12/26/1997,63.0,63.6
246,12/27/1997,63.0,63.6
247,12/28/1997,63.0,63.6
248,12/29/1997,63.0,63.6
249,12/30/1997,63.0,63.6
250,12/31/1997,63.0,63.6
251,1/1/1998,63.0,63.6
252,1/2/1998,63.0,63.6
253,1/3/1998,63.0,63.6
254,1/4/1998,63.0,63.6
255,1/5/1998,63.0,63.6
256,1/7/1998,63.0,63.6
257,1/8/1998,63.0,63.6
258,1/9/1998,63.0,63.6
259,1/10/1998,63.0,63.6
260,1/11/1998,63.0,63.6
261,1/12/1998,63.0,63.6
262,1/13/1998,63.25,63.85
263,1/14/1998,63.25,63.85
264,1/15/1998,63.76,64.36
265,1/16/1998,64.15,64.75
266,1/17/1998,64.15,64.75
267,1/18/1998,64.15,64.75
268,1/19/1998,64.15,64.75
269,1/20/1998,64.15,64.75
270,1/21/1998,62.54,63.14
271,1/22/1998,62.54,63.14
272,1/23/1998,62.5,63.1
273,1/24/1998,62.5,63.1
274,1/25/1998,62.5,63.1
275,1/26/1998,62.5,63.1
276,1/27/1998,62.5,63.1
277,1/28/1998,62.0,62.6
278,1/29/1998,62.0,62.6
279,1/30/1998,62.0,62.6
280,1/31/1998,62.0,62.6
281,2/1/1998,62.0,62.6
282,2/2/1998,62.0,62.6
283,2/3/1998,62.0,62.6
284,2/4/1998,62.0,62.6
285,2/5/1998,62.0,62.6
286,2/6/1998,62.0,62.6
287,2/7/1998,62.0,62.6
288,2/8/1998,62.0,62.6
289,2/9/1998,62.0,62.6
290,2/10/1998,62.0,62.6
291,2/11/1998,62.0,62.6
292,2/12/1998,62.0,62.6
293,2/13/1998,62.0,62.6
294,2/14/1998,62.0,62.6
295,2/15/1998,62.0,62.6
296,2/16/1998,62.0,62.6
297,2/17/1998,62.0,62.6
298,2/18/1998,62.0,62.6
299,2/19/1998,62.0,62.6
300,2/20/1998,62.0,62.6
301,2/21/1998,62.0,62.6
302,2/22/1998,62.0,62.6
303,2/23/1998,62.0,62.6
304,2/24/1998,62.0,62.6
305,2/25/1998,62.0,62.6
306,2/26/1998,62.6,63.2
307,2/27/1998,62.6,63.2
308,2/28/1998,62.6,63.2
309,3/1/1998,62.6,63.2
310,3/2/1998,62.6,63.2
311,3/3/1998,62.6,63.2
312,3/4/1998,63.1,63.7
313,3/5/1998,63.1,63.7
314,3/6/1998,63.1,63.7
315,3/7/1998,63.1,63.7
316,3/8/1998,63.1,63.7
317,3/9/1998,63.1,63.7
318,3/10/1998,63.1,63.7
319,3/11/1998,63.1,63.7
320,3/12/1998,63.1,63.7
321,3/13/1998,63.1,63.7
322,3/14/1998,63.1,63.7
323,3/15/1998,63.1,63.7
324,3/16/1998,63.1,63.7
325,3/17/1998,63.1,63.7
326,3/18/1998,63.1,63.7
327,3/19/1998,63.1,63.7
328,3/20/1998,63.1,63.7
